,imgName,gradThrHi,gradThrLo
0,32a44f9e0.jpg,0.6507102993404362,0.1111111111111111
0,595865646.jpg,0,0
0,e7557fd63.jpg,0,0
0,fac5d4d35.jpg,0,0
0,537e280ce.jpg,0,0
0,17262d28d.jpg,0,0
0,fdb35f8f4.jpg,0,0
0,0c17c1fb8.jpg,0,0
0,b5ef4928c.jpg,0,0
0,d49f33869.jpg,0,0
0,9a72a0321.jpg,0.39057858220211167,0.03076923076923077
0,6a624c5ed.jpg,0,0
0,84fc3e5e5.jpg,0,0
0,27c3063a0.jpg,0,0
0,ead5bc646.jpg,0,0
0,d54d7fa02.jpg,0,0
0,26a83f9fc.jpg,0,0
0,d44542a6f.jpg,0,0
0,361ee9312.jpg,0,0
0,fbec37ea5.jpg,0,0
0,e7ce8dc19.jpg,0,0
0,c27d7d7ec.jpg,0,0
0,f25b1dbb4.jpg,0,0
0,98bfc8fac.jpg,0,0
0,1255332a4.jpg,0.9527855035819639,0.38095238095238093
0,04dc932f8.jpg,0,0
0,3e3ca708d.jpg,0,0
0,415eab5e3.jpg,0,0
0,6d5b90f66.jpg,0,0
0,470e98ea2.jpg,0,0
0,26e25d8d1.jpg,0,0
0,8088bc2f2.jpg,0,0
0,dbb664c34.jpg,0,0
0,69b7aca5c.jpg,0,0
0,e9d2413b4.jpg,0,0
0,9c1928fc1.jpg,0,0
0,6c53a8cc7.jpg,0,0
0,b9c314c31.jpg,0,0
0,511c67ccf.jpg,0,0
0,12508ebf6.jpg,0,0
0,b94e5f7e6.jpg,0,0
0,cc6c5973b.jpg,0,0
0,adfaf1f27.jpg,0,0
0,444b5eedb.jpg,0,0
0,80e3efb97.jpg,0,0
0,749322ff5.jpg,0,0
0,bea07f58b.jpg,0,0
0,711cb7859.jpg,1.0360480640854475,0.40186915887850466
0,4dd1b48dd.jpg,0,0
0,7ff8edec6.jpg,0,0
0,8a6248b99.jpg,0.49677419354838714,0.045454545454545456
0,902511dc1.jpg,0,0
0,bc3d41e0e.jpg,0,0
0,6a25bedb8.jpg,0,0
0,5657fbe03.jpg,0,0
0,bca99d8fb.jpg,0,0
0,3b67150f0.jpg,0.3372668524108041,0.05555555555555555
0,577b18c27.jpg,0,0
0,ec6cdbfad.jpg,0,0
0,48c9a949d.jpg,0.55,0.15151515151515152
