,imgName,IoU
0,0ffecdfbb.jpg,1
0,6fb8e5b28.jpg,1
0,df924b063.jpg,1
0,cfeb8a194.jpg,1
0,d354703bd.jpg,1
0,583feb82b.jpg,1
0,9e527dcee.jpg,1
0,f25e49131.jpg,1
0,28cdee989.jpg,1
0,98bb98136.jpg,1
0,6e16f5767.jpg,1
0,e9970017b.jpg,1
0,d6e39424d.jpg,1
0,cf8aa4bdd.jpg,1
0,eabd243da.jpg,1
0,0235db857.jpg,1
0,afacc9387.jpg,1
0,17ad5ae3e.jpg,1
0,ac4373082.jpg,1
0,7ff4ca97c.jpg,1
0,a98167b03.jpg,1
0,bdb55cd55.jpg,1
0,4f8bc567f.jpg,1
0,6c8206113.jpg,1
0,f05876f62.jpg,1
0,411a86187.jpg,1
0,ff14de33c.jpg,1
0,319750de9.jpg,1
0,9fd85455a.jpg,1
0,55bcaa1f6.jpg,1
0,1fb6637d1.jpg,1
0,7ea5f663f.jpg,1
0,b43cc01e9.jpg,1
0,9dd944379.jpg,1
0,d11f0293f.jpg,1
0,71340fec9.jpg,1
0,1ae0a46a6.jpg,1
0,0f67d0bb9.jpg,1
0,73603f84f.jpg,1
0,3de6d9f0f.jpg,1
0,dbffcb8e6.jpg,1
0,ca2f58ee7.jpg,1
0,ab11857bb.jpg,1
0,6c582552b.jpg,1
0,4dd3b0102.jpg,1
0,a1163c56a.jpg,1
0,78ac4575d.jpg,1
0,3e3e4e5ce.jpg,1
0,8fb5d6f92.jpg,1
0,59f48ede1.jpg,1
0,921fb2010.jpg,1
0,52f450ec0.jpg,1
0,b865d224b.jpg,1
0,2ede88931.jpg,1
0,b74f9f2b8.jpg,1
0,cfe86e184.jpg,1
0,919d2639c.jpg,1
0,731752dc9.jpg,1
0,dae3e61a6.jpg,1
0,21afbea9d.jpg,1
0,aaf2d60cf.jpg,1
0,e10f66f82.jpg,1
0,e45948d98.jpg,1
0,48662940c.jpg,1
0,b5ea887f7.jpg,1
0,44f98ba98.jpg,1
0,d7143e2d5.jpg,1
0,a219f6243.jpg,1
0,c8f212e67.jpg,1
0,2237a1ace.jpg,1
0,d039af77f.jpg,1
0,1e70eeefa.jpg,1
0,0ab8b6f47.jpg,1
0,952d919fd.jpg,1
0,7d55783d3.jpg,1
0,500e6c152.jpg,1
0,589dbc307.jpg,1
0,85e509fb6.jpg,1
0,1378151df.jpg,1
0,a486d497a.jpg,1
0,d1dfff341.jpg,1
0,4f8c0211d.jpg,1
0,f8880cfe0.jpg,1
0,a461ad92e.jpg,1
0,27414649d.jpg,1
0,41f6999e3.jpg,1
0,b5a0e515b.jpg,1
0,61ef8d5c9.jpg,1
0,803c07ad9.jpg,1
0,d4ad2e84d.jpg,1
0,f075840ed.jpg,1
0,5ed3fc930.jpg,1
0,406ef83e1.jpg,1
0,ab5e503c0.jpg,1
0,f9439926a.jpg,1
0,af51e5876.jpg,1
0,e15a13ee5.jpg,1
0,a99ce7710.jpg,1
0,56dd63225.jpg,1
0,4584bbfa7.jpg,1
0,369a2deed.jpg,1
0,0bf54c523.jpg,1
0,f9aa3891f.jpg,1
0,e4c1f4d35.jpg,1
0,6c51b9af1.jpg,1
0,3165a80d4.jpg,1
0,2e814b576.jpg,1
0,c54d5c292.jpg,1
0,c0021c3a4.jpg,1
0,beeb2dda5.jpg,1
0,6dd3257a0.jpg,1
0,cdcb72724.jpg,1
0,1711f9618.jpg,1
0,5bf34320d.jpg,1
0,c2b41016a.jpg,1
0,05de53b85.jpg,1
0,728fdef16.jpg,1
0,d943de958.jpg,1
0,bd0ea628c.jpg,1
0,c7f452a35.jpg,1
0,00acaac4f.jpg,1
0,adf92a1f2.jpg,1
0,86475114e.jpg,1
0,d4d6f06ad.jpg,1
0,091480f65.jpg,1
0,9ba7f1304.jpg,1
0,0285506d2.jpg,1
0,5ffdfd833.jpg,1
0,fe040f1cb.jpg,1
0,80d7d49ec.jpg,1
0,7d07c8349.jpg,1
0,7ca73e661.jpg,1
0,52995abe8.jpg,1
0,1b675fef6.jpg,1
0,56bd0ea4f.jpg,1
0,4e25b6e32.jpg,1
0,92ff20259.jpg,1
0,d1d48802d.jpg,1
0,4652a928d.jpg,1
0,e697576bf.jpg,1
0,dd78d5c9c.jpg,1
0,af021262e.jpg,1
0,fa62f73e3.jpg,1
0,aa4f3a823.jpg,1
0,3f4d1a5f3.jpg,1
0,d45b6549f.jpg,1
0,495b766a0.jpg,1
0,f1b306c90.jpg,1
0,5dc90431e.jpg,1
0,76dfc12dd.jpg,1
0,2ba491dbc.jpg,1
0,cf9232610.jpg,1
0,2810b4115.jpg,1
0,d4a92d7bc.jpg,1
0,d1ba33fbe.jpg,1
0,4971e52d9.jpg,1
0,4fcd27776.jpg,1
0,f98f1b0de.jpg,1
0,e64e7ff78.jpg,1
0,90a9288b7.jpg,1
0,dc3bf482b.jpg,1
0,3529d3673.jpg,1
0,b606e2a2d.jpg,1
0,0da231384.jpg,1
0,0f0aa8c89.jpg,1
0,6597cc0af.jpg,1
0,e2659b5ec.jpg,1
0,aaa392c1d.jpg,1
0,7ae626a7d.jpg,1
0,681b64603.jpg,1
0,09b047eeb.jpg,1
0,2c1ebb05c.jpg,1
0,071c912ab.jpg,1
0,1c5e228f7.jpg,1
0,4b182e04f.jpg,1
0,daf2509b7.jpg,1
0,b44f3bd6c.jpg,1
0,597300924.jpg,1
0,871a447e4.jpg,1
0,dfd1501a5.jpg,1
0,411074ad2.jpg,1
0,13c48190e.jpg,1
0,4abe19401.jpg,1
0,e658aa929.jpg,1
0,0092b764b.jpg,1
0,481f6aa56.jpg,1
0,271581fae.jpg,1
0,92698218d.jpg,1
0,4963827c9.jpg,1
0,8633f73d7.jpg,1
0,3ae903d0a.jpg,1
0,bec93b5ea.jpg,1
0,6241c3f26.jpg,1
0,22bf5efd6.jpg,1
0,c7411fb6c.jpg,1
0,10679aef6.jpg,1
0,36dfa6cbf.jpg,1
0,c28fe538f.jpg,1
0,a2375df48.jpg,1
0,200182d63.jpg,1
0,0e0468975.jpg,1
